questionid,answer,correct
103,"Graham Chapman",0
103,"George Bernard Shaw",1
104,"Army sergeant",0
104,"Carpenter",0
104,"Tobacco shopkeeper",0
104,"Meat packer",1
105,"Desert in Australia",0
105,"Marshland in the US",0
105,"Mountain in Scotland",0
105,"Hill in Wales",1
106,"Panama",0
106,"Ecuador",0
106,"Nicaragua",0
106,"Costa Rica",1
107,"Minotaur",0
107,"Hydra",0
107,"Siren",0
107,"Pegasus",1
108,"Long-tongued mammals",0
108,"Nocturnal fish",0
108,"Chromatic lizards",0
108,"Tailless amphibians",1
109,"Vilnius",0
109,"Stockholm",0
109,"Helsinki",0
109,"Reykjavík",1
110,"Abraham Werner",0
110,"Inge Lehmann",0
110,"Beno Gutenberg",0
110,"Alfred Wegener",1
111,"Jupiter",0
111,"Saturn",0
111,"Venus",0
111,"Uranus",1
112,"Poland",0
112,"Hungary",0
112,"Ukraine",0
112,"Czechoslovakia",1
113,"Quintillion",0
113,"Googolplex",0
113,"Decillion",0
113,"Googol",1
114,"Android OS",0
114,"Ubuntu OS",0
114,"iOS",0
114,"Unix OS",1
115,"The Starry Night",0
115,"Almond Blossoms",0
115,"Cafe Terrace at Night",0
115,"The Red Vineyard",1
116,"Indianapolis",0
116,"Memphis",0
116,"Albany",0
116,"Chicago",1
117,"The National Parliament",0
117,"The Central Branch",0
117,"The General Assembly",0
117,"The States General",1
118,"Peter Meyer",0
118,"Tan Meifeng",0
118,"Julián Saelices",0
118,"Satoshi Nakamoto",1
119,"Maximillian Spitz",0
119,"Jochen Kiefer",0
119,"Mathis Schmidt",0
119,"Alex Seidel",1
120,"The Kennedy Commision",0
120,"The Butler Commission",0
120,"The LLoyd Commission",0
120,"The Warren Commission",1
121,"12",0
121,"7",0
121,"5",0
121,"27",1
